Water Analytes,Reached Reporting Level,0
DRO (C10-C28),Yes,9
Phenanthrene,Yes,8
ORO (C28-C40),Yes,8
GRO (C6-C10),Yes,8
Fluoranthene,Yes,8
Vinyl Chloride,Yes,6
Pyrene,Yes,5
Naphthalene,Yes,4
pH (laboratory),Yes,3
Temperature,Yes,3
Benzo(a)anthracene,Yes,3
Fluorene,Yes,2
Chrysene,Yes,2
2-Methylnaphthalene,Yes,2
Bis(2-ethylhexyl)phthalate,Yes,2
Benzo(b)fluoranthene,Yes,2
Benzo(a)pyrene,Yes,2
Anthracene,Yes,2
Acenaphthylene,Yes,2
Acenaphthene,Yes,2
Benzo(k)fluoranthene,Yes,1
"Benzo(g,h,i)perylene",Yes,1
4-Chloroaniline,Yes,1
1-Methylnaphthalene,Yes,1
